track_id,track_title,album,kworb_total_streams,kworb_match_score,kworb_fetch_date,billboard_hot100_peak,billboard_hot100_weeks_on_chart,billboard_hot100_debut_date,charted_hot100,riaa_certification,riaa_cert_date,duration_seconds,fetch_timestamp,parser_note
alright_post_808s_feature_run,Alright,808s & Heartbreak,,,,,,,False,,,,2026-05-12T16:42:07Z,no_kworb_match;best_kworb_title='Daylight (ft. Ye)';best_score=80.00
anyone_but_him_post_808s_feature_run,Anyone But Him,808s & Heartbreak,,,,,,,False,,,,2026-05-12T16:42:07Z,no_kworb_match;best_kworb_title='The One';best_score=57.14
ayyy_girl_post_808s_feature_run,Ayyy Girl,808s & Heartbreak,,,,,,,False,,,,2026-05-12T16:42:07Z,no_kworb_match;best_kworb_title='Digital Girl (feat. Kanye West & The-Dream)';best_score=61.54
digital_girl_remix_post_808s_feature_run,Digital Girl (Remix),808s & Heartbreak,2524720,100.00,2026-05-10,,,,False,,,,2026-05-12T16:42:07Z,
ego_remix_post_808s_feature_run,Ego (Remix),808s & Heartbreak,181143058,100.00,2026-05-10,,,,False,,,,2026-05-12T16:42:07Z,
gifted_post_808s_feature_run,Gifted,808s & Heartbreak,4872041,100.00,2026-05-10,,,,False,,,,2026-05-12T16:42:07Z,
hate_post_808s_feature_run,Hate,808s & Heartbreak,10052785,100.00,2026-05-10,,,,False,,,,2026-05-12T16:42:07Z,
maybach_music_2_post_808s_feature_run,Maybach Music 2,808s & Heartbreak,12236385,100.00,2026-05-10,,,,False,,,,2026-05-12T16:42:07Z,
sailing_not_selling_post_808s_feature_run,Sailing NOT Selling,808s & Heartbreak,,,,,,,False,,,,2026-05-12T16:42:07Z,"no_kworb_match;best_kworb_title=""Can't Tell Me Nothing"";best_score=50.00"
the_big_screen_post_808s_feature_run,The Big Screen,808s & Heartbreak,,,,,,,False,,,,2026-05-12T16:42:07Z,no_kworb_match;best_kworb_title='Big Brother';best_score=64.00
whatever_u_want_post_808s_feature_run,Whatever U Want,808s & Heartbreak,667768,100.00,2026-05-10,,,,False,,,,2026-05-12T16:42:07Z,
run_this_town_post_808s_feature_run,Run This Town,808s & Heartbreak,773920149,100.00,2026-05-10,,,,False,,,,2026-05-12T16:42:07Z,
forever_post_808s_feature_run,Forever,808s & Heartbreak,772381229,100.00,2026-05-10,8,,2009-08-27,True,6x Platinum,,357,2026-05-12T16:42:07Z,
make_her_say_post_808s_feature_run,Make Her Say,808s & Heartbreak,114230541,100.00,2026-05-10,,,,False,,,,2026-05-12T16:42:07Z,
alors_on_danse_remix_g_o_o_d_fridays_mbdtf,Alors on Danse (Remix),My Beautiful Dark Twisted Fantasy,97099760,100.00,2026-05-10,,,,False,,,,2026-05-12T16:42:07Z,
blame_game_g_o_o_d_fridays_mbdtf,Blame Game,My Beautiful Dark Twisted Fantasy,109341162,100.00,2026-05-10,,,,False,Gold,,,2026-05-12T16:42:07Z,
blazin_g_o_o_d_fridays_mbdtf,Blazin',My Beautiful Dark Twisted Fantasy,19498917,92.31,2026-05-10,,,,False,,,,2026-05-12T16:42:07Z,
deuces_remix_g_o_o_d_fridays_mbdtf,Deuces (Remix),My Beautiful Dark Twisted Fantasy,19790203,100.00,2026-05-10,,,,False,,,,2026-05-12T16:42:07Z,
devil_in_a_new_dress_g_o_o_d_fridays_mbdtf,Devil in a New Dress,My Beautiful Dark Twisted Fantasy,702663410,100.00,2026-05-10,,,,False,3x Platinum,,,2026-05-12T16:42:07Z,
erase_me_g_o_o_d_fridays_mbdtf,Erase Me,My Beautiful Dark Twisted Fantasy,378904102,100.00,2026-05-10,22,,2010-08-17,True,2x Platinum,,193,2026-05-12T16:42:07Z,
gorgeous_g_o_o_d_fridays_mbdtf,Gorgeous,My Beautiful Dark Twisted Fantasy,288258265,100.00,2026-05-10,,,,False,Platinum,,,2026-05-12T16:42:07Z,
live_fast_die_young_g_o_o_d_fridays_mbdtf,"Live Fast, Die Young",My Beautiful Dark Twisted Fantasy,7350130,100.00,2026-05-10,,,,False,,,,2026-05-12T16:42:07Z,
lost_in_the_world_g_o_o_d_fridays_mbdtf,Lost in the World,My Beautiful Dark Twisted Fantasy,136108763,100.00,2026-05-10,70,,2012-09-14,True,Gold,,231,2026-05-12T16:42:07Z,
power_g_o_o_d_fridays_mbdtf,Power,My Beautiful Dark Twisted Fantasy,1178969310,100.00,2026-05-10,22,,2010-07-01,True,7x Platinum,,292,2026-05-12T16:42:07Z,
runaway_g_o_o_d_fridays_mbdtf,Runaway,My Beautiful Dark Twisted Fantasy,1168671938,100.00,2026-05-10,12,,2010-10-04,True,7x Platinum,,547,2026-05-12T16:42:07Z,
start_it_up_g_o_o_d_fridays_mbdtf,Start It Up,My Beautiful Dark Twisted Fantasy,26513401,100.00,2026-05-10,,,,False,,,,2026-05-12T16:42:07Z,
all_of_the_lights_g_o_o_d_fridays_mbdtf,All of the Lights,My Beautiful Dark Twisted Fantasy,946770670,100.00,2026-05-10,18,,2010-12-13,True,8x Platinum,,260,2026-05-12T16:42:07Z,
dark_fantasy_g_o_o_d_fridays_mbdtf,Dark Fantasy,My Beautiful Dark Twisted Fantasy,284547236,100.00,2026-05-10,60,,2010-11-22,True,Platinum,,281,2026-05-12T16:42:07Z,
hell_of_a_life_g_o_o_d_fridays_mbdtf,Hell of a Life,My Beautiful Dark Twisted Fantasy,139138284,100.00,2026-05-10,,,,False,Gold,,,2026-05-12T16:42:07Z,
monster_g_o_o_d_fridays_mbdtf,Monster,My Beautiful Dark Twisted Fantasy,473464139,100.00,2026-05-10,18,,2010-10-23,True,3x Platinum,,378,2026-05-12T16:42:07Z,
so_appalled_g_o_o_d_fridays_mbdtf,So Appalled,My Beautiful Dark Twisted Fantasy,110707538,100.00,2026-05-10,,,,False,Gold,,,2026-05-12T16:42:07Z,
who_will_survive_in_america_g_o_o_d_fridays_mbdtf,Who Will Survive in America,My Beautiful Dark Twisted Fantasy,41151382,100.00,2026-05-10,,,,False,,,,2026-05-12T16:42:07Z,
e_t_remix_watch_the_throne,E.T. (Remix),Watch the Throne with Jay-Z,329213815,100.00,2026-05-10,1,,2011-02-11,True,8x Platinum,,208,2026-05-12T16:42:07Z,
eyez_closed_watch_the_throne,Eyez Closed,Watch the Throne with Jay-Z,1886086,100.00,2026-05-10,,,,False,,,,2026-05-12T16:42:07Z,
lift_off_watch_the_throne,Lift Off,Watch the Throne with Jay-Z,73690438,100.00,2026-05-10,,,,False,,,,2026-05-12T16:42:07Z,
made_in_america_watch_the_throne,Made in America,Watch the Throne with Jay-Z,43058916,100.00,2026-05-10,,,,False,,,,2026-05-12T16:42:07Z,
marvin_chardonnay_watch_the_throne,Marvin & Chardonnay,Watch the Throne with Jay-Z,56632311,100.00,2026-05-10,,,,False,,,,2026-05-12T16:42:07Z,
no_church_in_the_wild_watch_the_throne,No Church in the Wild,Watch the Throne with Jay-Z,571766318,100.00,2026-05-10,72,,2012-03-20,True,3x Platinum,,272,2026-05-12T16:42:07Z,
same_time_watch_the_throne,Same Time,Watch the Throne with Jay-Z,,,,,,,False,,,,2026-05-12T16:42:07Z,no_kworb_match;best_kworb_title='Primetime';best_score=66.67
sing_a_song_watch_the_throne,Sing a Song,Watch the Throne with Jay-Z,,,,,,,False,,,,2026-05-12T16:42:07Z,no_kworb_match;best_kworb_title='FIRST TIME IN A LONG TIME';best_score=58.06
the_joy_watch_the_throne,The Joy,Watch the Throne with Jay-Z,21136986,100.00,2026-05-10,,,,False,,,,2026-05-12T16:42:07Z,
touch_it_watch_the_throne,Touch It,Watch the Throne with Jay-Z,,,,,,,False,,,,2026-05-12T16:42:07Z,no_kworb_match;best_kworb_title='Touch The Sky';best_score=76.92
why_i_love_you_watch_the_throne,Why I Love You,Watch the Throne with Jay-Z,242068198,100.00,2026-05-10,,,,False,,,,2026-05-12T16:42:07Z,
gotta_have_it_watch_the_throne,Gotta Have It,Watch the Throne with Jay-Z,291071799,100.00,2026-05-10,69,,2011-12-06,True,Platinum,,140,2026-05-12T16:42:07Z,
illest_motherfucker_alive_watch_the_throne,Illest Motherfucker Alive,Watch the Throne with Jay-Z,18375246,95.83,2026-05-10,,,,False,,,,2026-05-12T16:42:07Z,
murder_to_excellence_watch_the_throne,Murder to Excellence,Watch the Throne with Jay-Z,67279595,100.00,2026-05-10,,,,False,,,,2026-05-12T16:42:07Z,
new_day_watch_the_throne,New Day,Watch the Throne with Jay-Z,54200240,100.00,2026-05-10,,,,False,,,,2026-05-12T16:42:07Z,
niggas_in_paris_watch_the_throne,Niggas in Paris,Watch the Throne with Jay-Z,1819935163,92.86,2026-05-10,,,,False,,,,2026-05-12T16:42:07Z,
otis_watch_the_throne,Otis,Watch the Throne with Jay-Z,326132171,100.00,2026-05-10,12,,2011-07-20,True,4x Platinum,,178,2026-05-12T16:42:07Z,
primetime_watch_the_throne,Primetime,Watch the Throne with Jay-Z,29845487,100.00,2026-05-10,,,,False,,,,2026-05-12T16:42:07Z,
that_s_my_bitch_watch_the_throne,That's My Bitch,Watch the Throne with Jay-Z,44177935,100.00,2026-05-10,,,,False,,,,2026-05-12T16:42:07Z,
who_gon_stop_me_watch_the_throne,Who Gon Stop Me,Watch the Throne with Jay-Z,113978142,100.00,2026-05-10,44,,2011-08-08,True,Platinum,,257,2026-05-12T16:42:07Z,
theraflu_cruel_summer_yeezus_build_up,Theraflu/Way Too Cold,Yeezus,22152386,100.00,2026-05-10,,,,False,,,,2026-05-12T16:42:07Z,
